level,group,year,path,url,original_url,status,bytes,sha256,error
MS,IT,1389,MS/IT/1389/IT89(konkurcomputer.ir)new.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT89(konkurcomputer.ir)new.pdf,,ok,5660507,e28741ef9f1ebebc1f68f08524b8034d0120b2efe5790a5dcd27e5c33b8cf051,
MS,IT,1390,MS/IT/1390/IT90(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT90(konkurcomputer.ir).pdf,,ok,4062073,371005bd57e4d5aaaea1b007dbe3b39eb957c3b6b2a9f6f7051334600db37ada,
MS,IT,1391,MS/IT/1391/IT91(konkurcomputer.ir)new.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT91(konkurcomputer.ir)new.pdf,,ok,5461732,fa6150b33692a6ebb9d4b5ec457015262ccbaedc51ef9c90d7b2f04163ee6208,
MS,IT,1392,MS/IT/1392/IT92(konkurcomputer.ir)new.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT92(konkurcomputer.ir)new.pdf,,ok,4746053,c52b5086754d729cae0c223ef86801b7acf2419c8ef8e49a11f2cda39d2ebdb0,
MS,IT,1393,MS/IT/1393/IT93(konkurcomputer.ir)new.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT93(konkurcomputer.ir)new.pdf,,ok,3789410,5ec10a23c32c2f2b277585360101132537a4f14cbba6ee51f1f5e72b48aae05f,
MS,IT,1394,MS/IT/1394/IT94(konkurcomputer.ir)new.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT94(konkurcomputer.ir)new.pdf,,ok,5376374,44870df171ad5fe121bc5d25b54f7bc93b962b78c3d587b1f25468917db45d2d,
MS,IT,1395,MS/IT/1395/IT95(konkurcomputer.ir)new.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT95(konkurcomputer.ir)new.pdf,,ok,5701762,c737d706185360cca83f9406f6fd6f3b7b0255c4acdacf62ce3d588ef9d7655c,
MS,IT,1396,MS/IT/1396/IT96(konkurcomputer.ir)new.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT96(konkurcomputer.ir)new.pdf,,ok,4402557,d246caa9907cd260eb8d8e2fd8e2a74d7b4684ede560112ef56eb027f638a1cc,
MS,IT,1397,MS/IT/1397/IT97(konkurcomputer.ir)new.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT97(konkurcomputer.ir)new.pdf,,ok,3378682,83b716eb5f6dfdccdb54a9ea365a2b9b18b0fad158986354550220c325321783,
MS,IT,1398,MS/IT/1398/daftarche soalat konkur arshad IT 98.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/daftarche%20soalat%20konkur%20arshad%20IT%2098.pdf,,ok,2267023,03eeeaa2dd62fc26315f1086ebf263cad5265f7260d6f7fdc1fc0b17920c4210,
MS,IT,1399,MS/IT/1399/daftarche-soalat-konkur-arshad-IT-99.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/daftarche-soalat-konkur-arshad-IT-99.pdf,,ok,7815427,5076ad19258d713e70fc72201712e5dda95c199b6044a83a0659c714eab3612c,
MS,IT,1400,MS/IT/1400/Daftarche-Soalat-Konkur-Arshad-IT-1400.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/Daftarche-Soalat-Konkur-Arshad-IT-1400.pdf,,ok,6546533,408a69749b55659e60a1c35275c3f7d10d680442e468222476d3e92c10ffb48e,
MS,IT,1401,MS/IT/1401/Daftarche-Soalat-Konkur-Arshad-IT-1401-(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/Daftarche-Soalat-Konkur-Arshad-IT-1401-(konkurcomputer.ir).pdf,,ok,9565107,4b4be3261a9c12bd3d168230374d0d0b720e50b05ef0cebf5147b1667e9a905b,
MS,IT,1402,MS/IT/1402/Daftarche-Soalat-Konkur-Arshad-IT-1402-(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/Daftarche-Soalat-Konkur-Arshad-IT-1402-(konkurcomputer.ir).pdf,,ok,15669832,eac44d43b1e0c48f03276f3b9e60a1d802732932d2806e422e96914e578ee98e,
MS,IT,1403,MS/IT/1403/Daftarche-Soalat-Konkur-Arshad-IT-1403-(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/Daftarche-Soalat-Konkur-Arshad-IT-1403-(konkurcomputer.ir).pdf,,ok,21377880,353280cff3a345a2589663e634de05a6edeca362fa6a76dc0a5e780bd6b065df,
MS,IT,1404,MS/IT/1404/Daftarche-Soalat-Konkur-Arshad-IT-1404-(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/Daftarche-Soalat-Konkur-Arshad-IT-1404-(konkurcomputer.ir).pdf,,ok,23831742,93b760d6008a63d020cd8af914d35538e45eb242bea497e4d0fd1adb2b6616fd,
MS,IT,1405,MS/IT/1405/Q254A-Arshad1405-[www.konkur.in].pdf,https://dl.konkur.in/Arshad/1405/Q254A-Arshad1405-[www.konkur.in].pdf,,ok,422445,c55c4b5ffdcad7301970b1e4509bdec4f8be69e59a042038300beb60c23d56b6,
PHD,CE,1391,PHD/CE/1391/2354-PHD91-[www.konkur.in].pdf,https://dl.konkur.in/PHD/91/2354-PHD91-[www.konkur.in].rar,,ok,1107011,c428d148e3d316a343efbb5af64a13bc5440765f47831c44e211a1201b1ec0ed,
